[2026-01-27 22:56:55] INFO: CheckM v1.2.4
[2026-01-27 22:56:55] INFO: checkm qa quality/checkM/output/V_alginolyticus/Bacteria.ms quality/checkM/output/V_alginolyticus -o 2
[2026-01-27 22:56:55] INFO: CheckM data: /home/kevin/miniconda3/envs/vibrio_env/checkm_data
[2026-01-27 22:56:55] INFO: [CheckM - qa] Tabulating genome statistics.
[2026-01-27 22:56:55] INFO: Calculating AAI between multi-copy marker genes.
[2026-01-27 22:56:55] INFO: Reading HMM info from file.
[2026-01-27 22:56:55] INFO: Parsing HMM hits to marker genes:
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                 Marker lineage   # genomes   # markers   # marker sets   Completeness   Contamination   Strain heterogeneity   Genome size (bp)   # ambiguous bases   # scaffolds   # contigs   N50 (scaffolds)   N50 (contigs)   Mean scaffold length (bp)   Mean contig length (bp)   Longest scaffold (bp)   Longest contig (bp)     GC    GC std (scaffolds > 1kbp)   Coding density   Translation table   # predicted genes   0    1    2   3   4   5+  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  GCF_023650915.1_ASM2365091v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5150420                0                3            3           3294375          3294375               1716806                    1716806                  3294375                3294375         44.71              2.20                 86.05                11                 4598         0   104   0   0   0   0   
  GCF_013368735.1_ASM1336873v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5623485                0                5            5           3336177          3336177               1124697                    1124697                  3336177                3336177         44.46              3.29                 85.99                11                 5108         0   104   0   0   0   0   
  GCF_012151595.1_ASM1215159v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5185324                0                2            2           3425997          3425997               2592662                    2592662                  3425997                3425997         44.96              0.04                 86.00                11                 4609         0   104   0   0   0   0   
  GCF_012151455.1_ASM1215145v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5185324                0                2            2           3425997          3425997               2592662                    2592662                  3425997                3425997         44.96              0.04                 86.00                11                 4610         0   104   0   0   0   0   
  GCF_012151295.1_ASM1215129v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5185395                0                2            2           3426062          3426062               2592697                    2592697                  3426062                3426062         44.96              0.04                 86.00                11                 4608         0   104   0   0   0   0   
  GCF_012151155.1_ASM1215115v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5185395                0                2            2           3426062          3426062               2592697                    2592697                  3426062                3426062         44.96              0.04                 86.00                11                 4607         0   104   0   0   0   0   
  GCF_011801435.1_ASM1180143v1_genomic      Bacteria         5449        104            58           100.00           0.00               0.00               5246686                0                2            2           3416391          3416391               2623343                    2623343                  3416391                3416391         44.59              0.07                 85.97                11                 4652         0   104   0   0   0   0   
  GCF_009763845.1_ASM976384v1_genomic       Bacteria         5449        104            58           100.00           0.00               0.00               5344305                0                3            3           3333610          3333610               1781435                    1781435                  3333610                3333610         44.65              0.58                 85.93                11                 4781         0   104   0   0   0   0   
  GCF_009763745.1_ASM976374v1_genomic       Bacteria         5449        104            58           100.00           0.00               0.00               5226922                0                3            3           3256900          3256900               1742307                    1742307                  3256900                3256900         44.61              0.17                 85.55                11                 4646         0   104   0   0   0   0   
  GCF_009763085.1_ASM976308v1_genomic       Bacteria         5449        104            58           100.00           0.00               0.00               5418945                0                4            4           3341568          3341568               1354736                    1354736                  3341568                3341568         44.83              3.44                 85.70                11                 4933         0   104   0   0   0   0   
  GCF_009665435.1_ASM966543v1_genomic       Bacteria         5449        104            58           100.00           0.00               0.00               5137878                0                2            2           3294888          3294888               2568939                    2568939                  3294888                3294888         44.73              0.09                 86.23                11                 4550         0   104   0   0   0   0   
