BinId	Completeness	Contamination	Status
GCF_046581405.1_NHRI_VV7356_1.0_genomic	100.0	0.0	OK
GCF_046532655.1_ASM4653265v1_genomic	100.0	0.0	OK
GCF_045348105.1_ASM4534810v1_genomic	100.0	0.0	OK
GCF_031883075.1_ASM3188307v1_genomic	100.0	0.0	OK
GCF_030220165.1_ASM3022016v1_genomic	100.0	0.0	OK
GCF_029990625.1_ASM2999062v1_genomic	100.0	0.0	OK
GCF_025994915.1_ASM2599491v1_genomic	100.0	0.0	OK
GCF_014211935.1_ASM1421193v1_genomic	100.0	0.0	OK
GCF_014107515.1_ASM1410751v1_genomic	100.0	0.0	OK
GCF_009764115.1_ASM976411v1_genomic	100.0	0.0	OK
GCF_009764095.1_ASM976409v1_genomic	100.0	0.0	OK
GCF_009665475.1_ASM966547v1_genomic	100.0	0.0	OK
GCF_008693685.1_ASM869368v1_genomic	100.0	0.0	OK
GCF_004319645.1_ASM431964v1_genomic	100.0	0.0	OK
GCF_002863725.1_ASM286372v1_genomic	100.0	0.0	OK
GCF_002850455.1_ASM285045v1_genomic	100.0	0.0	OK
GCF_002215135.1_ASM221513v1_genomic	100.0	0.0	OK
GCF_002204915.1_ASM220491v1_genomic	100.0	0.0	OK
GCF_001675245.1_ASM167524v1_genomic	100.0	0.0	OK
GCF_001653775.1_ASM165377v1_genomic	100.0	0.0	OK
GCF_001558515.2_ASM155851v2_genomic	100.0	0.0	OK
GCF_001433435.1_ASM143343v1_genomic	100.0	0.0	OK
GCF_000746665.1_ASM74666v1_genomic	100.0	0.0	OK
