BinId	Completeness	Contamination	Status
GCF_023650915.1_ASM2365091v1_genomic	100.0	0.0	OK
GCF_013368735.1_ASM1336873v1_genomic	100.0	0.0	OK
GCF_012151595.1_ASM1215159v1_genomic	100.0	0.0	OK
GCF_012151455.1_ASM1215145v1_genomic	100.0	0.0	OK
GCF_012151295.1_ASM1215129v1_genomic	100.0	0.0	OK
GCF_012151155.1_ASM1215115v1_genomic	100.0	0.0	OK
GCF_011801435.1_ASM1180143v1_genomic	100.0	0.0	OK
GCF_009763845.1_ASM976384v1_genomic	100.0	0.0	OK
GCF_009763745.1_ASM976374v1_genomic	100.0	0.0	OK
GCF_009763085.1_ASM976308v1_genomic	100.0	0.0	OK
GCF_009665435.1_ASM966543v1_genomic	100.0	0.0	OK
GCF_003613065.1_ASM361306v1_genomic	100.0	1.72	OK
GCF_003613035.1_ASM361303v1_genomic	100.0	0.0	OK
GCF_002953975.1_ASM295397v1_genomic	100.0	0.0	OK
GCF_002953535.1_ASM295353v1_genomic	100.0	0.0	OK
GCF_002953515.1_ASM295351v1_genomic	100.0	0.0	OK
GCF_002149105.1_ASM214910v1_genomic	100.0	0.0	OK
GCF_002149085.1_ASM214908v1_genomic	100.0	5.17	DESCARTAR
GCF_002149065.1_ASM214906v1_genomic	100.0	0.0	OK
GCF_002119585.1_ASM211958v1_genomic	100.0	0.0	OK
GCF_002119565.1_ASM211956v1_genomic	100.0	1.72	OK
GCF_002119545.1_ASM211954v1_genomic	100.0	0.0	OK
GCF_002119505.2_ASM211950v2_genomic	100.0	0.0	OK
GCF_001679745.1_ASM167974v1_genomic	100.0	0.0	OK
GCF_001469735.1_ASM146973v1_genomic	100.0	0.0	OK
GCF_008369605.1_ASM836960v1_genomic	100.0	0.0	OK
GCF_003063785.1_ASM306378v1_genomic	100.0	0.0	OK
GCF_002997215.1_ASM299721v1_genomic	100.0	0.0	OK
GCF_002892855.1_ASM289285v1_genomic	100.0	0.0	OK
GCF_002749635.1_ASM274963v1_genomic	100.0	0.0	OK
GCF_002313025.1_ASM231302v1_genomic	100.0	0.0	OK
GCF_002313005.1_ASM231300v1_genomic	100.0	0.0	OK
GCF_002073335.2_ASM207333v2_genomic	100.0	0.0	OK
GCF_001887655.1_ASM188765v1_genomic	100.0	0.0	OK
GCF_001887635.1_ASM188763v1_genomic	100.0	0.0	OK
GCF_001887615.1_ASM188761v1_genomic	100.0	0.0	OK
GCF_001887515.1_ASM188751v1_genomic	100.0	0.0	OK
GCF_001887495.1_ASM188749v1_genomic	100.0	0.0	OK
GCF_001887475.1_ASM188747v1_genomic	100.0	0.0	OK
GCF_001887455.1_ASM188745v1_genomic	100.0	0.0	OK
GCF_001887435.1_ASM188743v1_genomic	100.0	0.0	OK
GCF_001887415.1_ASM188741v1_genomic	100.0	0.0	OK
GCF_001887395.1_ASM188739v1_genomic	100.0	0.0	OK
GCF_001854425.1_ASM185442v1_genomic	100.0	0.0	OK
GCF_001250235.2_5174_7_8_v2_genomic	100.0	0.0	OK
GCF_000969265.1_ASM96926v1_genomic	100.0	0.0	OK
GCF_000969235.1_ASM96923v1_genomic	100.0	0.0	OK
GCF_000788715.2_ASM78871v2_genomic	100.0	0.0	OK
GCF_000765415.1_ASM76541v1_genomic	100.0	0.0	OK
GCF_004006515.1_ASM400651v1_genomic	100.0	0.0	OK
GCF_003691525.1_ASM369152v1_genomic	100.0	0.0	OK
GCF_003612715.1_ASM361271v1_genomic	100.0	0.0	OK
GCF_003612695.1_ASM361269v1_genomic	100.0	0.0	OK
GCF_003119375.1_ASM311937v1_genomic	100.0	0.0	OK
