BinId	Completeness	Contamination	Status
GCF_008369605.1_ASM836960v1_genomic	100.0	0.0	OK
GCF_003063785.1_ASM306378v1_genomic	100.0	0.0	OK
GCF_002997215.1_ASM299721v1_genomic	100.0	0.0	OK
GCF_002892855.1_ASM289285v1_genomic	100.0	0.0	OK
GCF_002749635.1_ASM274963v1_genomic	100.0	0.0	OK
GCF_002313025.1_ASM231302v1_genomic	100.0	0.0	OK
GCF_002313005.1_ASM231300v1_genomic	100.0	0.0	OK
GCF_002073335.2_ASM207333v2_genomic	100.0	0.0	OK
GCF_001887655.1_ASM188765v1_genomic	100.0	0.0	OK
GCF_001887635.1_ASM188763v1_genomic	100.0	0.0	OK
GCF_001887615.1_ASM188761v1_genomic	100.0	0.0	OK
GCF_001887515.1_ASM188751v1_genomic	100.0	0.0	OK
GCF_001887495.1_ASM188749v1_genomic	100.0	0.0	OK
GCF_001887475.1_ASM188747v1_genomic	100.0	0.0	OK
GCF_001887455.1_ASM188745v1_genomic	100.0	0.0	OK
GCF_001887435.1_ASM188743v1_genomic	100.0	0.0	OK
GCF_001887415.1_ASM188741v1_genomic	100.0	0.0	OK
GCF_001887395.1_ASM188739v1_genomic	100.0	0.0	OK
GCF_001854425.1_ASM185442v1_genomic	100.0	0.0	OK
GCF_001250235.2_5174_7_8_v2_genomic	100.0	0.0	OK
GCF_000969265.1_ASM96926v1_genomic	100.0	0.0	OK
GCF_000969235.1_ASM96923v1_genomic	100.0	0.0	OK
GCF_000788715.2_ASM78871v2_genomic	100.0	0.0	OK
GCF_000765415.1_ASM76541v1_genomic	100.0	0.0	OK
